types_habits,prix,adresse,image_lien
Ensemble enfant,15000,"Guédiawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1204362_uploaded_image1_1573832164.18.png""); width: 374px;"
Vêtement enfant,10000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1228231_uploaded_image1_1574275865.23.png""); width: 374px;"
Vêtements enfant,3000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1265573_uploaded_image1_1574947905.39.png""); width: 592px;"
Vêtements bébé,3000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1265617_uploaded_image1_1574948491.15.png""); width: 592px;"
Blouson pour enfant,14000,"Mboro, Sénégal","background-image: url(""https://images.coinafrique.com/1277041_uploaded_image2_1575227853.91.png""); width: 395px;"
3 chaussettes bébé 0-1 an,1500,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1283945_uploaded_image1_1575298312.76.png""); width: 642px;"
Bavoir + chaussons bébé,2000,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1284009_uploaded_image1_1575298926.1.png""); width: 642px;"
Bavoir bébé 0-3 ans,1000,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1284185_uploaded_image1_1575301233.88.png""); width: 642px;"
Vêtements bébé,3000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1303699_uploaded_image1_1575638913.69.png""); width: 592px;"
Vêtements bébé,2500,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1303712_uploaded_image1_1575639089.05.png""); width: 592px;"
Robe princesse,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1306722_uploaded_image1_1575705367.41.png""); width: 513px;"
Ensemble vêtements enfants,6000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1308244_uploaded_image1_1575732106.25.png""); width: 576px;"
Robe brodé et bazin,7000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1311765_uploaded_image1_1575816948.09.png""); width: 513px;"
Robe pour enfants,5000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1317815_uploaded_image1_1575924047.73.png""); width: 513px;"
Robes,9000,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1330043_uploaded_image1_1576151148.98.png""); width: 374px;"
Boxer slip fille,4000,Sénégal,"background-image: url(""https://images.coinafrique.com/1344415_uploaded_image1_1576424608.36.png""); width: 404px;"
Pull enfant en cuir,12000,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/1370069_uploaded_image1_1576879259.44.png""); width: 617px;"
Robe fillette,13000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1373563_uploaded_image1_1576949693.42.png""); width: 374px;"
Robe fillette,13000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1373581_uploaded_image1_1576950179.13.png""); width: 374px;"
Robe fillette,15000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1373672_uploaded_image1_1576952145.0.png""); width: 374px;"
Grenouillère,6500,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1373984_uploaded_image1_1576959397.12.png""); width: 376px;"
Blousons garçon - fille,15000,"M'bour, Sénégal","background-image: url(""https://images.coinafrique.com/1410978_uploaded_image2_1577742017.02.png""); width: 437px;"
Vêtements pour bébé,400,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1491193_uploaded_image1_1579191536.91.png""); width: 411px;"
Robes fillettes,12000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1514274_uploaded_image1_1579604622.01.png""); width: 525px;"
Ensemble enfant,6000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1514342_uploaded_image1_1579605416.29.png""); width: 516px;"
Complet enfant,6000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1514365_uploaded_image1_1579605771.41.png""); width: 516px;"
Couverture bébé,5000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1514395_uploaded_image1_1579606069.38.png""); width: 516px;"
Vêtement enfant,7000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1526621_uploaded_image1_1579784330.83.png""); width: 492px;"
Lacoste enfant,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543886_uploaded_image1_1580076977.34.png""); width: 512px;"
Lacoste 2-6 ans,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543891_uploaded_image1_1580077027.08.png""); width: 512px;"
Polo Lacoste 2-6 ans,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543894_uploaded_image1_1580077072.75.png""); width: 512px;"
Polo Lacoste 2-6 ans,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543944_uploaded_image1_1580077931.79.png""); width: 512px;"
Lacoste enfant,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543946_uploaded_image1_1580077992.21.png""); width: 512px;"
Polo Lacoste,4000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1543948_uploaded_image1_1580078044.42.png""); width: 512px;"
Ensemble enfant 6 à 14 ans,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1544373_uploaded_image1_1580086240.79.png""); width: 441px;"
Tenue de baptême  / 11 piéces,12000,"HLM, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1552044_uploaded_image2_1580207298.82.png""); width: 592px;"
Vêtements bébé,2000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559422_uploaded_image1_1580301721.18.png""); width: 480px;"
Vêtements bébé,2000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559425_uploaded_image1_1580301744.51.png""); width: 480px;"
Vêtements bébé - 10 pièces,12000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559487_uploaded_image1_1580302197.09.png""); width: 480px;"
Vêtements bébé - 10 pièces,12000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559490_uploaded_image1_1580302235.18.png""); width: 480px;"
Vêtements bébé - 10 pièces,12000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559493_uploaded_image1_1580302285.16.png""); width: 480px;"
Complet bébé,6000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559509_uploaded_image1_1580302514.24.png""); width: 480px;"
Ensemble bébé,6000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559510_uploaded_image1_1580302551.72.png""); width: 480px;"
Ensemble bébé,5000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559514_uploaded_image1_1580302586.76.png""); width: 480px;"
Robe bébé,8000,"Gueule Tapée-Fass-Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1559518_uploaded_image1_1580302630.18.png""); width: 480px;"
Bombers pour enfants,15000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1565490_uploaded_image1_1580383347.89.png""); width: 410px;"
Chemise enfant,5000,"Thies Nord, Thiès, Sénégal","background-image: url(""https://images.coinafrique.com/1566600_uploaded_image1_1580394360.74.png""); width: 476px;"
Tenue mardi gras,25000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1607896_uploaded_image1_1581036259.52.png""); width: 397px;"
Tenue mardi gras,25000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1607901_uploaded_image1_1581036440.19.png""); width: 397px;"
Tenues pour mardi-gras,25000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1607904_uploaded_image1_1581036553.31.png""); width: 397px;"
Coffret sortie de bain,10000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1608013_uploaded_image1_1581043244.3.png""); width: 512px;"
Cache couche,2000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1608014_uploaded_image1_1581043282.72.png""); width: 512px;"
Habits d'enfants,12000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1632221_uploaded_image1_1581423696.07.png""); width: 592px;"
Ensemble short,10000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1647670_uploaded_image1_1581664885.61.png""); width: 410px;"
Boxers enfants,7000,"Patte d'Oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1680030_uploaded_image1_1582211265.82.png""); width: 489px;"
Robe d'été enfants,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1689763_uploaded_image1_1582384162.5.png""); width: 572px;"
Tenues mardi-gras,20000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1697316_uploaded_image1_1582554886.1.png""); width: 384px;"
Vêtements enfant,10000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1703264_uploaded_image1_1582641589.45.png""); width: 411px;"
Robe,10000,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1719896_uploaded_image1_1582902178.54.png""); width: 518px;"
Robe enfant,5000,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1720893_uploaded_image1_1582915357.03.png""); width: 389px;"
Habits pour enfants,1500,"Grand Dakar, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1730070_uploaded_image1_1583108098.32.png""); width: 477px;"
Boxer slip fille,3500,"Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1738625_uploaded_image1_1583250075.0.png""); width: 404px;"
Robe enfant,5000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1773838_uploaded_image1_1583862932.13.png""); width: 425px;"
Robe enfant,5000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1783768_uploaded_image1_1584018577.34.png""); width: 425px;"
Ensemble enfant,10000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1784533_uploaded_image1_1584027397.68.png""); width: 608px;"
Ensemble enfant,10000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1784540_uploaded_image1_1584027470.41.png""); width: 608px;"
Vêtement enfant,10000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1784551_uploaded_image1_1584027560.51.png""); width: 608px;"
Vêtement enfant,10000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1784556_uploaded_image1_1584027610.0.png""); width: 608px;"
Robe enfant fille,5000,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1784678_uploaded_image1_1584029251.42.png""); width: 389px;"
Ensemble bébé,5000,"HLM, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1790170_uploaded_image1_1584127134.2.png""); width: 592px;"
Sortie de bain bébé,9000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1797422_uploaded_image1_1584283247.52.png""); width: 534px;"
Pack de 5 barboteuses,6000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1797916_uploaded_image1_1584293987.81.png""); width: 534px;"
Maillot enfant original,5000,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1803131_uploaded_image1_1584378734.55.png""); width: 547px;"
Ensemble pantalon enfant,12000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1810071_uploaded_image1_1584488550.47.png""); width: 530px;"
Combinaison enfant,15000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1834624_uploaded_image1_1584951207.3.png""); width: 374px;"
